Vitamins	Smart Kids Vitamins
Bagel	Thomas Plain Bagel	Cream Cheese (2 tbsp)	Glass Milk (1 cup)
Bagel	Thomas Plain Bagel	Peanut Butter (2tbsp)	Glass Milk (1 cup)
Peanut Butter Sandwhich	Wheat Slice (1)	Wheat Slice (1)	Peanut Butter (2tbsp)	Glass Milk (1 cup)
Peanut Butter Sandwhich	Wheat Slice (1)	Wheat Slice (1)	Peanut Butter (2tbsp)	Wheat Slice (1)	Wheat Slice (1)	Peanut Butter (2tbsp)	Glass Milk (1 cup)
Cereal	Cheerios (1.5 cup)	Glass Milk (1 cup)
Corn Dog	Corn Dog	Ketchup (1tbsp)
Hot Dog	Ketchup (1tbsp)	Hebrew National Bun Length Hot Dog	Sunnyside Hot Dog Bun
Pizza	Diogornio Pepperoni Slice (1/6 pizza)
Eggo Waffle	Chocolate Chip Eggo Waffle (2)	Glass Milk (1 cup)
Eggo Waffle	Chocolate Chip Eggo Waffle (2)
Chicken Nuggets	Just Bare Nuggets (84g)	Ketchup (1tbsp)
Tater Tots	Tater Tots (18)	Ketchup (1tbsp)
Chicken	Vegetable Oil (1tbsp)	Ketchup (1tbsp)	4.5oz uncooked chickenbreast
Pancakes	Krusteaz Pancake Mix (1/2 cup)	Maple Syrup (1 tbsp)
Pancakes	Krusteaz Pancake Mix (1/2 cup)	Made With Milk (1/3 cup)	Maple Syrup (1 tbsp)
Pancakes	Krusteaz Pancake Mix (1/2 cup)
Pancakes	Krusteaz Pancake Mix (1/2 cup)	Made With Milk (1/3 cup)
Quesadilla	Mission Tortilla White Flour Taco Size	Tillamook Medium Cheddar Slice (1)
Cheese Sandwhich	Bolillo Roll	Tillamook Medium Cheddar Slice (1)
Cereal	Lucky Charms (1 cup)	Glass Milk (1 cup)
Cereal	Frosted Flakes (1 cup)	Glass Milk (1 cup)
Cereal	Cinnamon Toast Crunch (1 cup)	Glass Milk (1 cup)
Cereal	Peanut Butter Cap'n Crunch (1 cup)	Glass Milk (1 cup)
Cereal	Lucky Charms (1 cup)
Cereal	Frosted Flakes (1 cup)
Cereal	Cinnamon Toast Crunch (1 cup)
Cereal	Peanut Butter Cap'n Crunch (1 cup)
Cereal	Cheerios (1.5 cup)
Peanut Butter Sandwhich	Wheat Slice (1)	Wheat Slice (1)	Peanut Butter (2tbsp)
Chik Patty	Chik Patty (1)	Ketchup (1tbsp)
Chik Patty	Chik Patty (1)	Chik Patty (1)	Ketchup (1tbsp)
Chicken Cup of Noodles	Chicken Cup of Noodles
Babybell Cheese	Babybell Original Cheese
